Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
1,Boston Celtics,E,A,52,23,.693,6.37,118.96,112.42,6.54,6.11,119.02,112.73,6.29
2,Cleveland Cavaliers,E,C,48,28,.632,5.66,117.34,111.43,5.91,5.62,117.40,111.52,5.88
3,Philadelphia 76ers,E,A,49,26,.653,4.59,118.77,114.10,4.67,4.48,118.81,114.24,4.57
4,Milwaukee Bucks,E,C,54,21,.720,4.36,115.92,111.72,4.20,4.14,115.79,111.79,4.00
5,Memphis Grizzlies,W,SW,47,27,.635,4.36,116.04,111.69,4.36,3.91,115.54,111.64,3.90
6,Denver Nuggets,W,NW,51,24,.680,4.16,119.35,115.17,4.18,3.84,119.24,115.39,3.85
7,New York Knicks,E,A,43,33,.566,2.79,118.58,115.70,2.88,2.86,118.70,115.74,2.96
8,Sacramento Kings,W,P,45,30,.600,2.44,120.16,117.89,2.27,2.18,120.21,118.21,2.00
9,Phoenix Suns,W,P,40,35,.533,1.87,116.14,114.25,1.89,1.90,116.07,114.16,1.91
10,New Orleans Pelicans,W,SW,38,37,.507,1.96,115.11,113.18,1.93,1.51,114.78,113.31,1.47
11,Chicago Bulls,E,C,36,39,.480,0.96,114.63,113.62,1.01,1.14,114.68,113.48,1.20
12,Toronto Raptors,E,A,37,38,.493,1.08,116.16,115.07,1.09,1.12,116.23,115.08,1.14
13,Brooklyn Nets,E,A,40,35,.533,0.60,116.02,115.31,0.71,0.99,116.30,115.19,1.11
14,Oklahoma City Thunder,W,NW,37,38,.493,1.13,115.74,114.67,1.07,1.14,115.62,114.56,1.06
15,Golden State Warriors,W,P,39,37,.513,0.46,116.25,115.79,0.46,0.41,116.27,115.88,0.39
16,Dallas Mavericks,W,SW,37,39,.487,0.57,117.59,117.05,0.53,0.36,117.54,117.21,0.32
17,Los Angeles Clippers,W,P,40,36,.526,0.41,115.48,115.04,0.43,0.08,115.07,114.97,0.10
18,Atlanta Hawks,E,SE,37,38,.493,0.16,117.25,117.08,0.17,-0.02,117.38,117.39,-0.01
19,Minnesota Timberwolves,W,NW,39,37,.513,-0.16,114.60,114.69,-0.09,-0.23,114.35,114.53,-0.18
20,Los Angeles Lakers,W,P,37,38,.493,-0.28,114.58,114.88,-0.29,-0.31,114.35,114.68,-0.33
21,Miami Heat,E,SE,40,35,.533,-0.77,113.47,114.36,-0.89,-0.52,113.66,114.28,-0.63
22,Utah Jazz,W,NW,35,40,.467,-0.72,116.86,117.67,-0.81,-0.81,116.75,117.67,-0.92
23,Washington Wizards,E,SE,33,42,.440,-0.97,115.43,116.49,-1.06,-0.84,115.61,116.53,-0.92
24,Orlando Magic,E,SE,32,43,.427,-2.40,112.84,115.25,-2.41,-2.31,112.82,115.13,-2.31
25,Portland Trail Blazers,W,NW,32,43,.427,-2.51,116.54,119.22,-2.68,-2.50,116.57,119.25,-2.68
26,Indiana Pacers,E,C,33,43,.434,-3.04,115.32,118.34,-3.02,-2.84,115.59,118.41,-2.82
27,Charlotte Hornets,E,SE,25,51,.329,-5.96,110.00,115.95,-5.96,-5.62,110.13,115.74,-5.60
28,Detroit Pistons,E,C,16,59,.213,-7.97,111.45,119.49,-8.04,-7.31,111.85,119.21,-7.36
29,Houston Rockets,W,SW,18,58,.237,-8.49,111.84,120.48,-8.64,-8.09,111.96,120.20,-8.25
30,San Antonio Spurs,W,SW,19,56,.253,-10.49,110.58,120.83,-10.26,-10.24,110.71,120.73,-10.02